IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP7;IP_PROP1;IP_PROP2;IP_PROP3;IP_PROP13;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP27;IP_PROP28;IC_GROUP0;IC_GROUP1;IC_GROUP2
148934;Блузка;148934;Y;;;/upload/iblock/7df/7df7750fe40e741555a5c4bb506e4761.jpg;;html;/upload/iblock/fbc/fbc3b85e18728fffac13d5ff390ef9ea.jpg;;html;;;;NHCOW13BL01;7;1790.0000;590.0000;;;;Блузка Neohit (Модель:NHCOW13BL01) ;Блузка, Neohit;Блузка Neohit (Модель:NHCOW13BL01) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148935;Водолазка;148935;Y;;;/upload/iblock/21d/21d4d6792c0e0cf9477877d9526a4e06.jpg;;html;/upload/iblock/f4c/f4c77740a616ce898032d07b8bfb52f3.jpg;;html;;;;ACYHW13JP03;2;1790.0000;1190.0000;;;;Водолазка Acasta (Модель:ACYHW13JP03) ;Водолазка, Acasta;Водолазка Acasta (Модель:ACYHW13JP03) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148936;Водолазка;148936;Y;;;/upload/iblock/415/415bdf0f13ed1bbe6d7c630d60c7c084.jpg;;html;/upload/iblock/563/563f534ddcf00bd3a22115245aa9740f.jpg;;html;;;;ACNPW13JP31;2;1790.0000;1190.0000;;;;Водолазка Acasta (Модель:ACNPW13JP31) ;Водолазка, Acasta;Водолазка Acasta (Модель:ACNPW13JP31) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148937;Юбка;148937;Y;;;/upload/iblock/3f8/3f8d0e439067708abf4057ccfab0188c.jpg;;html;/upload/iblock/b11/b117948e0d4d0b0eaff2969a7628ccb2.jpg;;html;;;;LRBVKW13SK44;13;2290.0000;1390.0000;;;;Юбка La Reine Blanche (Модель:LRBVKW13SK44) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBVKW13SK44) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148938;Юбка ;148938;Y;;;/upload/iblock/8ab/8ab56205035f3c573fb946221fd5d631.jpg;;html;/upload/iblock/aea/aeaa80d8c9430c47754b87caa0103a24.jpg;;html;;;;ACECW13SK26;2;2290.0000;790.0000;;;;Юбка  Acasta (Модель:ACECW13SK26) ;Юбка , Acasta;Юбка  Acasta (Модель:ACECW13SK26) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148939;Юбка ;148939;Y;;;/upload/iblock/766/7668e95ddc4852c2ec5deb2a7622c432.jpg;;html;/upload/iblock/3f4/3f48dbbf0f6976633ed4dd2e9f06de77.jpg;;html;;;;ACMKW13SK42;2;2290.0000;590.0000;;;;Юбка  Acasta (Модель:ACMKW13SK42) ;Юбка , Acasta;Юбка  Acasta (Модель:ACMKW13SK42) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148940;Юбка;148940;Y;;;/upload/iblock/7a4/7a45f964827b42dc54076c4d195e40b0.jpg;;html;/upload/iblock/e8f/e8f403d8ac9a3ca59b5027e5d4dae024.jpg;;html;;;;LRBBGW13SK13;13;2790.0000;1110.0000;;;;Юбка La Reine Blanche (Модель:LRBBGW13SK13) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBBGW13SK13) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148941;Юбка;148941;Y;;;/upload/iblock/0ba/0ba6e7c11ce51d4749e02ccda907ef36.jpg;;html;/upload/iblock/89f/89faf5bd12b5f491b23f313ea03e879e.jpg;;html;;;;NHCOW13SK09;7;2290.0000;790.0000;;;;Юбка Neohit (Модель:NHCOW13SK09) ;Юбка, Neohit;Юбка Neohit (Модель:NHCOW13SK09) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148942;Юбка;148942;Y;;;/upload/iblock/27b/27b8bb632d35ecd7c8098f2675e24052.jpg;;html;/upload/iblock/a18/a18a808bac198d40ece376bae20f96b9.jpg;;html;;;;LRBARW13SK02;13;1990.0000;790.0000;;;;Юбка La Reine Blanche (Модель:LRBARW13SK02) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBARW13SK02) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148943;Юбка;148943;Y;;;/upload/iblock/fa3/fa3ef71384a772c647790b6b8989760c.jpg;;html;/upload/iblock/188/188694bcd3973fe13dd7cc043ae85ca4.jpg;;html;;;;LRBBGW13SK07;13;1790.0000;710.0000;;;;Юбка La Reine Blanche (Модель:LRBBGW13SK07) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBBGW13SK07) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
