IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
219;Клевань;550302;Y;;;;;text;;;text;;;Западная Украина;50.7458;26.0125;Ровненская область;;;
220;Рокитное;550303;Y;;;;;text;;;text;;;Западная Украина;51.2614;27.2244;Ровненская область;;;
221;Заречное;550304;Y;;;;;text;;;text;;;Западная Украина;51.8088;26.1228;Ровненская область;;;
223;Львов;550305;Y;;;;;text;;;text;;;Западная Украина;49.8500;24.0167;Львовская область;;;
224;Дрогобыч;550306;Y;;;;;text;;;text;;;Западная Украина;49.3496;23.5219;Львовская область;;;
225;Червоноград;550307;Y;;;;;text;;;text;;;Западная Украина;50.3863;24.2270;Львовская область;;;
226;Стрый;550308;Y;;;;;text;;;text;;;Западная Украина;49.2557;23.8465;Львовская область;;;
227;Борислав;550309;Y;;;;;text;;;text;;;Западная Украина;49.2833;23.4167;Львовская область;;;
229;Трускавец;550310;Y;;;;;text;;;text;;;Западная Украина;49.2806;23.5050;Львовская область;;;
232;Золочев;550311;Y;;;;;text;;;text;;;Западная Украина;49.8083;24.9011;Львовская область;;;
233;Броды;550312;Y;;;;;text;;;text;;;Западная Украина;50.0833;25.1500;Львовская область;;;
234;Сокаль;550313;Y;;;;;text;;;text;;;Западная Украина;50.4833;24.2833;Львовская область;;;
236;Городок;550314;Y;;;;;text;;;text;;;Западная Украина;49.7822;23.6436;Львовская область;;;
240;Яворов;550315;Y;;;;;text;;;text;;;Западная Украина;49.9469;23.3931;Львовская область;;;
242;Жидачов;550316;Y;;;;;text;;;text;;;Западная Украина;49.3814;24.1408;Львовская область;;;
243;Каменка Бугская;550317;Y;;;;;text;;;text;;;Западная Украина;50.1000;24.3500;Львовская область;;;
245;Тернополь;550318;Y;;;;;text;;;text;;;Западная Украина;49.5667;25.6000;Тернопольская область;;;
247;Кременец;550319;Y;;;;;text;;;text;;;Западная Украина;50.1197;25.7167;Тернопольская область;;;
248;Бережаны;550320;Y;;;;;text;;;text;;;Западная Украина;49.4413;24.9430;Тернопольская область;;;
249;Збараж;550321;Y;;;;;text;;;text;;;Западная Украина;49.6667;25.7778;Тернопольская область;;;
251;Бучач;550322;Y;;;;;text;;;text;;;Западная Украина;49.0648;25.3817;Тернопольская область;;;
254;Козова;550323;Y;;;;;text;;;text;;;Западная Украина;49.4331;25.1549;Тернопольская область;;;
264;Ивано-Франковск;550324;Y;;;;;text;;;text;;;Западная Украина;48.9167;24.7167;Ивано-Франковская область;;;
265;Калуш;550325;Y;;;;;text;;;text;;;Западная Украина;49.0442;24.3597;Ивано-Франковская область;;;
266;Коломыя;550326;Y;;;;;text;;;text;;;Западная Украина;48.5306;25.0403;Ивано-Франковская область;;;
269;Бурштын;550327;Y;;;;;text;;;text;;;Западная Украина;49.2636;24.6305;Ивано-Франковская область;;;
274;Городенка;550328;Y;;;;;text;;;text;;;Западная Украина;48.6675;25.5003;Ивано-Франковская область;;;
278;Рогатин;550329;Y;;;;;text;;;text;;;Западная Украина;49.4114;24.6205;Ивано-Франковская область;;;
280;Яремче;550330;Y;;;;;text;;;text;;;Западная Украина;48.4603;24.5586;Ивано-Франковская область;;;
281;Богородчаны;550331;Y;;;;;text;;;text;;;Западная Украина;48.8081;24.5381;Ивано-Франковская область;;;
282;Ужгород;550332;Y;;;;;text;;;text;;;Западная Украина;48.6186;22.2988;Закарпатская область;;;
283;Мукачево;550333;Y;;;;;text;;;text;;;Западная Украина;48.4290;22.7058;Закарпатская область;;;
284;Хуст;550334;Y;;;;;text;;;text;;;Западная Украина;48.1814;23.2978;Закарпатская область;;;
285;Виноградов;550335;Y;;;;;text;;;text;;;Западная Украина;48.1497;23.0250;Закарпатская область;;;
286;Берегово;550336;Y;;;;;text;;;text;;;Западная Украина;48.2000;22.6333;Закарпатская область;;;
287;Свалява;550337;Y;;;;;text;;;text;;;Западная Украина;48.5479;23.0016;Закарпатская область;;;
288;Рахов;550338;Y;;;;;text;;;text;;;Западная Украина;48.0616;24.2097;Закарпатская область;;;
289;Тячев;550339;Y;;;;;text;;;text;;;Западная Украина;48.0154;23.5701;Закарпатская область;;;
290;Иршава;550340;Y;;;;;text;;;text;;;Западная Украина;48.3101;23.0424;Закарпатская область;;;
298;Королёво;550341;Y;;;;;text;;;text;;;Западная Украина;48.1500;23.1333;Закарпатская область;;;
300;Черновцы;550342;Y;;;;;text;;;text;;;Западная Украина;48.3000;25.9333;Черновицкая область;;;
303;Новоднестровск;550343;Y;;;;;text;;;text;;;Западная Украина;48.5740;27.4438;Черновицкая область;;;
304;Сокиряны;550344;Y;;;;;text;;;text;;;Западная Украина;48.4500;27.4167;Черновицкая область;;;
306;Глыбокая;550345;Y;;;;;text;;;text;;;Западная Украина;48.0853;25.9315;Черновицкая область;;;
310;Кельменцы;550346;Y;;;;;text;;;text;;;Западная Украина;48.4633;26.8292;Черновицкая область;;;
311;Кицмань;550347;Y;;;;;text;;;text;;;Западная Украина;48.4412;25.7641;Черновицкая область;;;
313;Харьков;550348;Y;;;;;text;;;text;;;Восточная Украина;49.9481;36.2123;Харьковская область;;;
314;Лозовая;550349;Y;;;;;text;;;text;;;Восточная Украина;48.8904;36.3115;Харьковская область;;;
315;Купянск;550350;Y;;;;;text;;;text;;;Восточная Украина;49.7053;37.5989;Харьковская область;;;
316;Изюм;550351;Y;;;;;text;;;text;;;Восточная Украина;49.2128;37.2569;Харьковская область;;;
317;Чугуев;550352;Y;;;;;text;;;text;;;Восточная Украина;49.8356;36.6864;Харьковская область;;;
318;Первомайский;550353;Y;;;;;text;;;text;;;Восточная Украина;49.3898;36.2127;Харьковская область;;;
319;Балаклея;550354;Y;;;;;text;;;text;;;Восточная Украина;49.4591;36.8449;Харьковская область;;;
320;Мерефа;550355;Y;;;;;text;;;text;;;Восточная Украина;49.8150;36.0589;Харьковская область;;;
322;Красноград;550356;Y;;;;;text;;;text;;;Восточная Украина;49.3667;35.4500;Харьковская область;;;
323;Песочин;550357;Y;;;;;text;;;text;;;Восточная Украина;49.9539;36.1092;Харьковская область;;;
324;Волчанск;550358;Y;;;;;text;;;text;;;Восточная Украина;50.3003;36.9467;Харьковская область;;;
325;Дергачи;550359;Y;;;;;text;;;text;;;Восточная Украина;50.1102;36.0935;Харьковская область;;;
